"filename", "language", "Markdown", "HTML", "JavaScript", "PHP", "JSON", "comment", "blank", "total"
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Dispatcher.php", "PHP", 0, 0, 0, -13, 0, -9, -5, -27
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Dispatcher\CharCountBased.php", "PHP", 0, 0, 0, -31, 0, -2, -11, -44
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Dispatcher\GroupCountBased.php", "PHP", 0, 0, 0, -29, 0, -2, -10, -41
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Dispatcher\GroupPosBased.php", "PHP", 0, 0, 0, -31, 0, -4, -12, -47
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Dispatcher\MarkBased.php", "PHP", 0, 0, 0, -28, 0, -2, -10, -40
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Dispatcher\RegexBasedAbstract.php", "PHP", 0, 0, 0, -82, 0, -17, -25, -124
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Dispatcher\Result\Matched.php", "PHP", 0, 0, 0, -35, 0, -13, -10, -58
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Dispatcher\Result\MethodNotAllowed.php", "PHP", 0, 0, 0, -31, 0, -5, -8, -44
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Dispatcher\Result\NotMatched.php", "PHP", 0, 0, 0, -29, 0, -1, -7, -37
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Exception.php", "PHP", 0, 0, 0, -7, 0, 0, -4, -11
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\FastRoute.php", "PHP", 0, 0, 0, -133, 0, -26, -25, -184
